"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","expression_status","tes_bound","tead1_bound","binding_status","combined_class"
"ENSG00000060718.22","COL11A1",2984.65620827564,-5.97911231595359,0.148147908922851,-40.359073303338,0,0,"ENSG00000060718","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000137801.11","THBS1",12319.4478488787,-5.16471413946792,0.118067088252013,-43.7438935433376,0,0,"ENSG00000137801","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000114019.15","AMOTL2",1987.73336740855,-5.97202541163863,0.160017239929839,-37.3211374865428,7.45387365996595e-305,6.32982951204309e-301,"ENSG00000114019","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000162733.19","DDR2",3045.79964205334,-4.52405488046812,0.12482573426013,-36.2429663024471,1.28251366932121e-287,8.7128848639006e-284,"ENSG00000162733","downregulated",TRUE,FALSE,"TES_only_bound","TES_only_bound_downregulated"
"ENSG00000154678.18","PDE1C",3988.73035117867,-4.11908970201714,0.116754580291097,-35.2798981568626,1.19438546796171e-272,5.07136069696543e-269,"ENSG00000154678","downregulated",TRUE,FALSE,"TES_only_bound","TES_only_bound_downregulated"
"ENSG00000118523.6","CCN2",1797.3708667729,-7.80301925281702,0.237455171163943,-32.8610205226051,7.92743637408812e-237,2.69279158755025e-233,"ENSG00000118523","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000178031.18","ADAMTSL1",1694.14119238008,-4.24994949902985,0.136026657733419,-31.2435045442252,2.73545321157551e-214,6.19452497938647e-211,"ENSG00000178031","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000137962.13","ARHGAP29",5075.83310035065,-3.59028908769471,0.116589088221948,-30.7943834405837,3.11583810374135e-208,6.61492429424289e-205,"ENSG00000137962","downregulated",TRUE,FALSE,"TES_only_bound","TES_only_bound_downregulated"
"ENSG00000287080.2","H3C3",889.348743871023,-5.79750108530536,0.188485102224016,-30.7584048654146,9.43999600396781e-208,1.78143213479321e-204,"ENSG00000287080","downregulated",TRUE,FALSE,"TES_only_bound","TES_only_bound_downregulated"
"ENSG00000154175.19","ABI3BP",2458.25911607693,-3.92593960471013,0.128906829180915,-30.4556370648156,1.00875983233321e-203,1.71327769923472e-200,"ENSG00000154175","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000038427.16","VCAN",13303.7072072348,-3.3430689830481,0.110796455263509,-30.1730680381176,5.34501680587103e-200,8.25270594826487e-197,"ENSG00000038427","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000140937.14","CDH11",4361.05033151811,-3.51266605280108,0.117120357707703,-29.9919341227393,1.25029389163099e-197,1.84652099612702e-194,"ENSG00000140937","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000101871.18","MID1",1114.52480103151,-4.14934057568253,0.139113476715086,-29.8270208872766,1.74399534709305e-195,2.46833474791903e-192,"ENSG00000101871","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000197702.14","PARVA",737.578321605466,-5.13370211651562,0.17280779615846,-29.7075839784923,6.12826393671285e-194,8.32659477609049e-191,"ENSG00000197702","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000162496.9","DHRS3",3223.63058221268,-3.40999963743536,0.11489505306766,-29.6792555152681,1.42254459786701e-193,1.85849980385949e-190,"ENSG00000162496","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000206579.10","XKR4",1181.79633356271,-4.14719861683479,0.141869709979761,-29.2324458647757,7.506838744509e-188,9.10686780262435e-185,"ENSG00000206579","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000142871.18","CCN1",1225.4248327505,-7.58217516754692,0.259701372054849,-29.1957455116778,2.19602805752716e-187,2.48648936860275e-184,"ENSG00000142871","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000131095.14","GFAP",24079.0105783592,-4.28369053416857,0.149414097781645,-28.669922033922,9.0506292332564e-181,9.31611435743192e-178,"ENSG00000131095","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000163235.16","TGFA",1496.60879274217,-4.23680464976558,0.148720437842773,-28.488382035593,1.63178574019147e-178,1.58367137208068e-175,"ENSG00000163235","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000139793.21","MBNL2",884.393731871934,-4.87160817326055,0.171497926531605,-28.4062219980412,1.69418589367414e-177,1.59855851212008e-174,"ENSG00000139793","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000286522.2","H3C2",734.372161326051,-5.57053096080474,0.19724788181525,-28.2412713867432,1.82186520773333e-175,1.62855572042858e-172,"ENSG00000286522","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000115159.17","GPD2",2084.63794933134,-3.49139828918591,0.125517835377931,-27.8159536345843,2.78191108568048e-170,2.36239889395986e-167,"ENSG00000115159","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000105855.10","ITGB8",6479.41630709051,-3.13290375568598,0.114573067245854,-27.3441554022752,1.26732802872233e-164,1.00113019720093e-161,"ENSG00000105855","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000137558.9","PI15",1724.1704136895,-5.02825208694987,0.187077892963321,-26.8778528948673,3.98711614509003e-159,2.88158215354081e-156,"ENSG00000137558","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000132470.14","ITGB4",6008.44510181096,-3.63919859917277,0.135448528108533,-26.8677603957183,5.231282718253e-159,3.70200440361704e-156,"ENSG00000132470","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000153071.15","DAB2",523.873888867927,-4.75916780426494,0.178860306607038,-26.6082950127162,5.44213218096485e-156,3.62467344947086e-153,"ENSG00000153071","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000064042.18","LIMCH1",3423.41899863011,-3.1060039256628,0.118265890706722,-26.2628887086737,5.0930641730548e-152,3.32694622750626e-149,"ENSG00000064042","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000122786.20","CALD1",4937.77610140333,-3.27393621064106,0.124702914257977,-26.2538869289627,6.45331336516025e-152,4.13596506392006e-149,"ENSG00000122786","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000044524.11","EPHA3",4526.82238488291,-3.15926590086563,0.120570542743644,-26.2026348142334,2.47988175953215e-151,1.5599374742183e-148,"ENSG00000044524","downregulated",TRUE,FALSE,"TES_only_bound","TES_only_bound_downregulated"
"ENSG00000159176.14","CSRP1",1803.92268993126,-3.5783599435882,0.13933507611239,-25.6816879383755,1.87238077021838e-145,1.06001716671297e-142,"ENSG00000159176","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000188039.17","NWD1",491.030030826672,-4.79224725861118,0.187645410614633,-25.5388460762997,7.3038715216927e-144,4.00157915885254e-141,"ENSG00000188039","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000146250.7","PRSS35",894.832163329415,-5.51440540427932,0.220436805652191,-25.0158107125723,4.11425996420057e-138,2.11747246157523e-135,"ENSG00000146250","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000075223.14","SEMA3C",2567.43804580281,-3.33817481768924,0.13637129158827,-24.4785744771547,2.49846488714587e-132,1.24805669539075e-129,"ENSG00000075223","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000180891.13","CUEDC1",1438.07575451222,-3.10594017008297,0.12702924122972,-24.4505921629979,4.9599326032767e-132,2.44172450243627e-129,"ENSG00000180891","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000105974.13","CAV1",2255.8378878697,-4.05488094375317,0.166964676062245,-24.2858611736622,2.76533441415932e-130,1.30942435146464e-127,"ENSG00000105974","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000150347.17","ARID5B",7977.24264140739,-2.83706279395299,0.116820252453351,-24.285710177573,2.77551087215774e-130,1.30942435146464e-127,"ENSG00000150347","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000129474.17","AJUBA",981.450844544782,-3.30499069168193,0.137305830115089,-24.0702866652618,5.11948431059658e-128,2.31864857416459e-125,"ENSG00000129474","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000135074.16","ADAM19",4167.06237446488,-2.86396387233607,0.120215058256176,-23.8236699618197,1.898921726114e-125,8.26956066572313e-123,"ENSG00000135074","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000077092.20","RARB",1057.82482264415,-3.21209099783835,0.134944919670908,-23.8029783238355,3.11082749749281e-125,1.33757706879539e-122,"ENSG00000077092","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000156011.19","PSD3",4234.51748008596,-3.11111775157525,0.130739819582808,-23.7962524462927,3.65188576130775e-125,1.55059069425127e-122,"ENSG00000156011","downregulated",TRUE,FALSE,"TES_only_bound","TES_only_bound_downregulated"
"ENSG00000057019.16","DCBLD2",15386.4109331694,-2.59420650209385,0.109343575874081,-23.7252758688019,1.97801329178225e-124,8.09507897533245e-122,"ENSG00000057019","downregulated",TRUE,FALSE,"TES_only_bound","TES_only_bound_downregulated"
"ENSG00000152104.12","PTPN14",1715.1400598654,-2.98887458076315,0.12630041605568,-23.6648039183457,8.31051279349973e-124,3.32107645375999e-121,"ENSG00000152104","downregulated",FALSE,TRUE,"TEAD1_only_bound","TEAD1_only_bound_downregulated"
"ENSG00000111799.22","COL12A1",3581.97440057399,-3.12431620296627,0.132158879615626,-23.6406075176568,1.47442182327022e-123,5.82362331312125e-121,"ENSG00000111799","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
"ENSG00000180801.14","ARSJ",1618.42653213867,-3.05204776402712,0.129142858373199,-23.6331129918718,1.76073076772865e-123,6.87454054232262e-121,"ENSG00000180801","downregulated",TRUE,FALSE,"TES_only_bound","TES_only_bound_downregulated"
"ENSG00000147862.18","NFIB",2705.16368521324,-2.96297919606652,0.125406951708933,-23.6269134660376,2.03905249351676e-123,7.87074262497469e-121,"ENSG00000147862","downregulated",TRUE,TRUE,"TES_TEAD1_bound","TES_TEAD1_bound_downregulated"
