"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","expression_status","tes_bound","tead1_bound","binding_status","combined_class"
"ENSG00000213076.3","ENSG00000213076.3",1.78207518079945,0.624303329482821,1.36657212491177,0.456838916952976,0.647786831195415,0.775035154874638,"ENSG00000213076","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000155366.17","RHOC",1231.37544305365,-0.0313050466122314,0.161266457043283,-0.194120012221942,0.846081912184273,0.91294556795013,"ENSG00000155366","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000286459.1","ENSG00000286459.1",1.3970442914469,2.47414299682521,1.67667303532132,1.47562640103594,0.140044213656961,0.260330643545101,"ENSG00000286459","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000136710.10","CCDC115",283.801766578641,0.798245894612804,0.191298719887033,4.1727717523891,3.00916357864665e-05,0.000160161812033014,"ENSG00000136710","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000180438.15","ENSG00000180438.15",1.33435318487739,1.26654092371825,1.64355724442757,0.770609559242566,0.440938393402682,0.600529062471524,"ENSG00000180438","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000019995.6","ZRANB1",436.783475368219,0.211319443297181,0.137531656009756,1.53651493356694,0.124412138048605,0.237564309698972,"ENSG00000019995","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000289499.2","ENSG00000289499.2",24.8190762732265,0.553121479670314,0.409970006489528,1.34917547848575,0.177280609103611,0.310982634271403,"ENSG00000289499","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000251402.3","ENSG00000251402.3",3.59394199441961,-1.11781263659285,1.13783514690803,-0.982402977821886,0.325901359884676,0.486709931526167,"ENSG00000251402","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000274925.1","ZKSCAN2-DT",97.2468439697664,0.190322190315612,0.214561797058784,0.88702738756177,0.375064155528635,0.537084407697681,"ENSG00000274925","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000235449.2","ENSG00000235449.2",12.2319668409481,-0.354191162813665,0.542665724842433,-0.652687550732095,0.51395772993708,0.665299194790699,"ENSG00000235449","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000132204.14","ENSG00000132204.14",2.24201055115415,2.37431232492512,1.39893251938349,1.69723149045922,0.0896529037600769,0.183896729161974,"ENSG00000132204","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000199875.1","ENSG00000199875.1",2.91181561403973,-3.06930164873916,1.31425503065916,-2.33539273363083,0.0195229136768174,0.0530184147564865,"ENSG00000199875","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000261489.1","ENSG00000261489.1",2.98893366049138,-1.66606029728837,1.10798258991956,-1.50368815579433,0.132661680329591,0.249460360796919,"ENSG00000261489","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
"ENSG00000254481.1","ENSG00000254481.1",10.2720613694536,-1.16870728137481,0.566754979362814,-2.06210324378403,0.0391979076031752,0.0946119893032512,"ENSG00000254481","unchanged",FALSE,FALSE,"Neither_bound","Neither_bound_unchanged"
