"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","expression_status","tes_bound","tead1_bound","binding_status","combined_class"
"ENSG00000115461.5","IGFBP5",11030.6435420683,-5.72505377078695,0.118406107117238,-48.3510007226095,0,0,"ENSG00000115461","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
"ENSG00000177706.9","FAM20C",2900.80547062486,-4.47662121276052,0.124977778856074,-35.8193372752756,5.52284192104902e-281,3.12666490623655e-277,"ENSG00000177706","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
"ENSG00000259207.10","ITGB3",1536.58926328561,-4.24773261828121,0.130120324597604,-32.6446512596499,9.54364293345654e-234,2.94707693785138e-230,"ENSG00000259207","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
"ENSG00000186417.15","GLDN",2827.97531055777,-4.12653644841925,0.136565273687507,-30.2165868159261,1.43431098075037e-200,2.32003216162517e-197,"ENSG00000186417","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
"ENSG00000148773.14","MKI67",3601.78097644897,-3.56563641263512,0.122095886702335,-29.2035752304089,1.7467512841691e-187,2.04598784898814e-184,"ENSG00000148773","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
"ENSG00000189060.6","H1-0",1593.50489633205,-5.2924138910207,0.182605349201848,-28.9827976790022,1.0840409582209e-184,1.15070947715149e-181,"ENSG00000189060","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
"ENSG00000149212.12","SESN3",10331.5374384317,-3.09524265977286,0.108449841791065,-28.5407761657784,3.65622255544629e-179,3.65278140480587e-176,"ENSG00000149212","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
"ENSG00000277775.2","H3C7",604.345812290723,-5.76368060282546,0.209503876494322,-27.5110928698337,1.29344917050858e-166,1.04609241485323e-163,"ENSG00000277775","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
"ENSG00000124575.7","H1-3",550.663973311776,-4.81737973884202,0.17733436625513,-27.1655169867711,1.66036624057971e-162,1.2533182324447e-159,"ENSG00000124575","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
"ENSG00000184357.5","H1-5",660.479029025487,-5.28724390216576,0.196220901568458,-26.9453654524217,6.4642043225364e-160,4.77339331365035e-157,"ENSG00000184357","downregulated",FALSE,FALSE,"Neither_bound","Neither_bound_downregulated"
