"gene_id","ASE01_GFP1","ASE01_GFP2","ASE01_GFP3","ASE01_TES1","ASE01_TES2","ASE01_TES3","mean_expression","mean_GFP","mean_TES","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.16",257.005147335529,262.050013879123,453.12135011063,225.136580272729,210.022353665597,236.35235603167,273.947966882546,324.058837108427,223.837096656665,"TSPAN6",273.947966882546,-0.544929035069279,0.209932156567523,-2.59573875664925,0.0094387800134009,0.0284108533004166
"ENSG00000000005.6",2.54460541916365,1.60766879680444,2.17324388542269,3.93251668598654,1.10829738082109,0.762426954940871,2.02145985385655,2.10850603379693,1.93441367391617,"TNMD",2.02145985385655,-0.142193518090722,1.27536497419377,-0.111492412735116,0.911225881850364,0.951653213057438
"ENSG00000000419.14",516.554900090221,516.865518172626,783.454420694878,713.751778506556,678.277997062508,727.355315013591,656.043321590063,605.624946319242,706.461696860885,"DPM1",656.043321590063,0.2160787787025,0.171139551646999,1.26258820140066,0.206737210251841,0.348809886089298
"ENSG00000000457.14",267.183569012183,287.772714627994,334.679558355094,448.306902202465,397.878759714772,391.887454839608,354.618159792019,296.54528066509,412.691038918948,"SCYL3",354.618159792019,0.464937042393095,0.155230257346198,2.995144441178,0.00274314908296449,0.00964588903210537
"ENSG00000000460.17",162.854746826474,202.566268397359,230.363851854805,356.875889253278,333.597511627148,337.755141038806,270.668901499645,198.594955692879,342.742847306411,"FIRRM",270.668901499645,0.762042145650067,0.167084832295575,4.56080983043394,5.09567144951713e-06,3.07769857391888e-05
"ENSG00000001084.13",603.071484341785,554.64573489753,685.658445850857,934.955842093299,1029.60826678279,1036.90065871958,807.47340544764,614.458555030057,1000.48825586522,"GCLC",807.473405447642,0.704387078179391,0.137912068252716,5.10750862563124,3.26434200403521e-07,2.33201006315724e-06
"ENSG00000001167.15",506.376478413566,480.692970244526,584.602605178703,629.202669757846,613.442600284474,654.162327339268,578.079941869731,523.890684612265,632.269199127196,"NFYA",578.07994186973,0.269853608530207,0.139498651293896,1.93445317232264,0.0530574342682285,0.12085937011958
"ENSG00000001460.18",279.906596108002,232.308141138241,282.521705104949,129.773050637556,169.015350575216,192.1315926451,214.276072701511,264.912147450397,163.639997952624,"STPG1",214.276072701511,-0.681074050438884,0.188272402449027,-3.61749274763346,0.000297470663048493,0.00130893774230846
"ENSG00000001461.17",1709.97484167797,1569.88858007953,1888.54893643231,2290.69096958716,2414.42584411875,2511.43438957523,2064.16059357849,1722.8041193966,2405.51706776038,"NIPAL3",2064.16059357849,0.482180449349312,0.124850108464425,3.86207473329272,0.000112428160792598,0.000538868317454911
"ENSG00000001497.18",625.972933114258,657.536537893014,794.320640121992,735.380620279482,820.694210498018,801.310729642856,739.202611924937,692.610037043088,785.795186806785,"LAS1L",739.202611924937,0.177817136277457,0.141369125264906,1.25782157839806,0.208456289987305,0.35111039114835
"ENSG00000001561.7",323.164888233784,323.945262556094,550.917324954651,222.187192758239,201.155974619028,250.076041220606,311.907780723734,399.342491914843,224.473069532624,"ENPP4",311.907780723734,-0.84030741658585,0.207945356380374,-4.04100111304606,5.32235057821621e-05,0.000270562113799534
"ENSG00000001617.12",25.4460541916365,22.5073631552621,38.031767994897,43.2576835458519,44.8860439232542,44.2207633865705,36.3916126995787,28.6617284472652,44.1214969518922,"SEMA3F",36.3916126995787,0.61646156866899,0.330061157502251,1.8677192231103,0.0618012177512358,0.136395540547981
"ENSG00000001629.10",3702.40088488311,3480.6029450816,3766.23165343751,4098.66551596947,3833.60064026015,4258.91697029971,3856.73643498859,3649.74516113407,4063.72770884311,"ANKIB1",3856.73643498859,0.155306804185127,0.114093510891994,1.36122381519268,0.173442970296093,0.305830087988875
"ENSG00000001630.18",91.6057950898914,75.5604334498085,67.3705604481033,27.5276168019058,40.4528543999698,48.0328981612749,58.4250263918256,78.1789296626011,38.6711231210502,"CYP51A1",58.4250263918256,-0.975606834718568,0.278596610284333,-3.50186182711581,0.000462019156104638,0.00195367442979738
"ENSG00000001631.17",819.362944970695,923.605723764148,692.178177507125,979.196654810647,822.91080525966,802.073156597797,839.887910485012,811.715615413989,868.060205556035,"KRIT1",839.887910485012,0.094483703123384,0.15171564379005,0.62276836299185,0.533436751122357,0.682451868559535
"ENSG00000002016.18",267.183569012183,286.16504583119,244.489937110052,200.558350985313,202.264271999849,173.070918771578,228.955348951694,265.946183984475,191.964513918913,"RAD52",228.955348951694,-0.471672766679371,0.166781102464725,-2.82809478837167,0.00468259395013056,0.0154395604055557
"ENSG00000002079.14",73.7935571557459,45.0147263105242,29.3387924532063,57.0214919468048,60.4022072547494,54.8947407557427,53.4109193127955,49.3823586398255,57.4394799857656,"MYH16",53.4109193127955,0.306536595445422,0.304809205292863,1.00566711937357,0.314575725050188,0.47448970819293
"ENSG00000002330.14",127.230270958183,85.2064462306351,144.520718380609,78.6503337197307,119.696117128678,101.402785007136,109.451111904162,118.985811856476,99.9164119518482,"BAD",109.451111904162,-0.225348341809549,0.245499944808032,-0.917916058945592,0.358662813546612,0.520621274755409
"ENSG00000002549.13",2035.68433533092,1915.53737139249,2692.64917403871,3095.8737610429,3486.70356006315,3409.57334249558,2772.67025739396,2214.62362692071,3330.71688786721,"LAP3",2772.67025739396,0.587972708768836,0.14800520888478,3.97264875472433,7.10778207008087e-05,0.000353495082513187
"ENSG00000002587.10",86.5165842515641,118.967490963528,119.528413698248,138.621213181025,149.065997720437,137.236851889357,124.989425284027,108.337496304447,141.641354263606,"HS3ST1",124.989425284027,0.353073382012114,0.201256990151522,1.75434096349296,0.0793721006549705,0.166725095235177
"ENSG00000002745.13",27.9906596108002,26.5265351472732,23.9056827396495,46.2070710603418,48.2109360657174,51.8450329359792,37.4476529266269,26.1409591659076,48.7543466873461,"WNT16",37.4476529266269,0.914519408533923,0.320055159497624,2.85738061517085,0.00427153287516516,0.0142403993231534
"ENSG00000002746.15",43.2582921257821,50.6415670993397,58.6775849064125,34.4095210023822,34.9113674958644,29.734651242694,41.9388306454125,50.8591480438448,33.0185132469802,"HECW1",41.9388306454125,-0.646351702477793,0.297087854119176,-2.17562479756749,0.0295833275599948,0.0750363254598195
"ENSG00000002822.16",99.2396113473824,65.1105862705796,42.3782557657424,37.3589085168721,36.573813567096,32.7843590624575,52.2409224216883,68.9094844612348,35.5723603821419,"MAD1L1",52.2409224216883,-0.8939605678933,0.30948917795354,-2.88850348113787,0.00387079744349311,0.0130725042315146
"ENSG00000002834.19",2519.15936497201,2295.75104183673,2636.14483301772,1920.05127193293,2166.16723081482,2226.28670842734,2293.92674183359,2483.68507994215,2104.16840372503,"LASP1",2293.92674183359,-0.237976607026254,0.124401989185089,-1.91296464457803,0.0557525787740107,0.125632635923368
"ENSG00000002919.15",638.695960210076,587.602945232021,726.950079673888,932.006454578809,1089.45632534713,1016.31513093618,831.837815996351,651.082995038662,1012.59263695404,"SNX11",831.837815996351,0.638552643102473,0.140207207532301,4.55434962539541,5.25478978203882e-06,3.16873245723939e-05
"ENSG00000002933.9",0,1.60766879680444,0,1.96625834299327,2.77074345205273,2.28728086482261,1.43865857611218,0.535889598934813,2.34142755328954,"TMEM176A",1.43865857611217,1.66409309521347,1.58051007100301,1.05288357584296,0.292394354431447,0.450719342499882
"ENSG00000003056.8",486.019635060257,473.458460658906,615.02801957462,707.853003477576,740.896799078899,734.217157608059,626.245512576386,524.835371764594,727.655653388178,"M6PR",626.245512576386,0.468006735669224,0.146211259288875,3.20089395266452,0.00137001944337996,0.00519036587694965
"ENSG00000003096.15",758.292414910768,681.651569845081,876.903907768054,890.71502937595,824.019102640481,773.100932310044,800.780492808396,772.282630841301,829.278354775492,"KLHL13",800.780492808396,0.102481669750773,0.142938764845787,0.71696204917776,0.473397513815576,0.630034351341437
"ENSG00000003147.19",2.54460541916365,0,0,4.91564585748317,1.66244607123164,1.52485390988174,1.77459187629337,0.848201806387883,2.70098194619885,"ICA1",1.77459187629337,2.46678654578233,1.63972788464586,1.50438775170009,0.132481556153393,0.249259637721195
"ENSG00000003393.16",1707.43023625881,1741.1053069392,1696.21685257241,2309.37042384559,2212.71572080931,2398.59520024398,2010.90562344488,1714.91746525681,2306.89378163296,"ALS2",2010.90562344488,0.427299056989276,0.114004942117402,3.74807485581848,0.000178197076861678,0.000819634164771495
"ENSG00000003400.16",5.0892108383273,11.2536815776311,14.1260852552475,19.6625834299327,23.2742449972429,24.3976625581079,16.3005781094149,10.156325890402,22.4448303284278,"CASP10",16.3005781094149,1.03696365992513,0.477726360518525,2.17062265268261,0.0299597083018275,0.0758501240882308
"ENSG00000003509.16",218.836066048074,241.150319520665,264.049132078856,324.432626593889,322.514537818937,333.180579309161,284.027210228264,241.345172549198,326.709247907329,"NDUFAF7",284.027210228264,0.424852775141156,0.15506846416999,2.73977547540176,0.00614811682900188,0.0195937312299617
"ENSG00000003756.17",1852.47274515114,1755.57432611044,1992.8646429326,3685.75126394088,3486.70356006315,3604.75464296044,2729.68686352644,1866.97057139806,3592.40315565482,"RBM5",2729.68686352644,0.944259764322946,0.116501952950615,8.10509815851083,5.27029504204164e-16,8.38507643972227e-15
"ENSG00000003987.14",73.7935571557459,100.479299800277,79.323401817928,127.806792294562,96.9760208218454,117.413751060894,99.2988038252087,84.5320862579836,114.065521392434,"MTMR7",99.2988038252089,0.395812178742262,0.226400433759624,1.74828365904328,0.0804149213959073,0.16850251015654
"ENSG00000004059.11",890.611896707278,733.096971342823,1290.90686794108,1575.9560619091,1996.5977315492,1745.19529985965,1372.06080488486,971.538578663727,1772.58303110598,"ARF5",1372.06080488485,0.86718800468412,0.186663672417599,4.64572454539558,3.38884936638421e-06,2.09829448190556e-05
"ENSG00000004142.12",1994.9706486243,1905.08752421326,2729.59432009089,2587.59597937914,3086.05405689633,2872.06233926226,2529.2274780777,2209.88416430948,2848.57079184591,"POLDIP2",2529.2274780777,0.365407581330884,0.155105070874212,2.35587127662141,0.018479320001384,0.0506377494197332
"ENSG00000004399.13",5145.1921575489,4818.18338402289,4694.206792513,4081.95232005402,4794.49446943204,4527.29125843889,4676.88673033496,4885.86077802826,4467.91268264165,"PLXND1",4676.88673033496,-0.127877717500775,0.119011696456378,-1.07449705624226,0.282599963442483,0.439772565430377
"ENSG00000004455.18",2356.30461814554,2159.09919410836,2788.27190499731,2897.28166840058,2985.19899524161,2936.1062034773,2687.04376406178,2434.55857241707,2939.5289557065,"AK2",2687.04376406178,0.271809881969628,0.13041694497793,2.08416078152747,0.0371455447916853,0.0904058737666771
"ENSG00000004478.8",437.672132096148,429.247568746784,557.437056610919,536.788527637162,502.058713511954,489.478105072039,492.113683945834,474.78558581795,509.441782073718,"FKBP4",492.113683945835,0.0964725431644213,0.151748225933912,0.635740830383321,0.52494535901791,0.6751739475623
"ENSG00000004487.18",1386.80995344419,1373.75298686939,1616.89345075448,2488.29993305798,2500.31889113238,2663.9197805634,2004.9991659703,1459.15213035602,2550.84620158459,"KDM1A",2004.9991659703,0.804381056694598,0.1241621808601,6.47847074787559,9.26568898237181e-11,9.72310544804466e-10
"ENSG00000004534.15",1366.45311009088,1368.92998047898,1305.03295319632,2403.75082430927,2298.05461913253,2460.35178359419,1867.09554513369,1346.80534792206,2387.38574234533,"RBM6",1867.0955451337,0.826230202197216,0.115195030471793,7.17244657875696,7.36691661176799e-13,9.24074680459878e-12
"ENSG00000004660.15",402.047656227857,413.17088077874,458.554459824187,678.359128332677,875.000782158251,647.3004847448,579.072232011085,424.590998943595,733.553465078576,"CAMKK1",579.072232011085,0.787381586637956,0.158456440234734,4.96907279673546,6.72738119938273e-07,4.61647847637642e-06
"ENSG00000004700.16",244.28212023971,278.93053624557,377.057814120836,310.668818192936,257.124992350493,309.545343705994,296.268270809256,300.090156868705,292.446384749808,"RECQL",296.268270809257,-0.0540674413057074,0.183018526530028,-0.29542059118718,0.767672605369795,0.86037689914218
"ENSG00000004766.17",623.428327695094,598.856626809652,724.776835788466,823.862245714179,722.609892295351,790.636752273684,714.028446762738,649.020596764404,779.036296761071,"VPS50",714.028446762738,0.260658557027734,0.139035599884359,1.8747612643419,0.0608255743558152,0.134687578601129
"ENSG00000004776.13",7.63381625749095,15.2728535696421,6.51973165626806,4.91564585748317,7.75808166574764,13.7236851889357,9.3039690325946,9.80880049446704,8.79913757072217,"HSPB6",9.30396903259461,-0.211818637140736,0.62996739363141,-0.336237461306878,0.736691805668489,0.839814318721591
"ENSG00000004777.19",167.943957664801,202.566268397359,231.450473797516,238.900388673682,264.883074016241,256.937883815074,227.113674394112,200.653566619892,253.573782168332,"ARHGAP33",227.113674394112,0.319005304157529,0.17184339474109,1.85637221982354,0.0634005215844291,0.139327742587817
"ENSG00000004779.10",218.836066048074,184.88191163251,300.994278131042,272.326780504568,292.036359846357,265.324580319423,255.733329413662,234.904085270542,276.562573556783,"NDUFAB1",255.733329413662,0.235172123421171,0.191112086097776,1.2305455307565,0.218492888025573,0.363526960249445
"ENSG00000004809.14",7.63381625749095,3.21533759360887,3.25986582813403,0.983129171496634,6.095635594516,5.3369886845861,4.42079552163876,4.70300655974462,4.13858448353291,"SLC22A16",4.42079552163876,0.0174743915137983,0.899312931678642,0.0194308242417697,0.984497420857656,0.991409142465696
"ENSG00000004838.14",17.8122379341456,34.5648791312954,29.3387924532063,20.6457126014293,26.0449884492956,24.3976625581079,25.46737885458,27.2386365062158,23.6961212029443,"ZMYND10",25.46737885458,-0.264400673711709,0.375730148539294,-0.703698318433071,0.48162066777778,0.637705264016357
