"category","SYMBOL","n_promoter_dmrs","mean_logFC","log2FoldChange","padj"
"Hypermethylated_Upregulated","EVL",2,6.06164433660038,1.10920372118097,1.44797275674769e-13
"Hypermethylated_Upregulated","ATP8B1",1,6.03332115854508,1.45521528395998,3.8526967462993e-18
"Hypermethylated_Upregulated","MMP15",1,6.0331590920122,1.29419396930967,4.673802860689e-12
"Hypermethylated_Upregulated","PAX8",1,6.0331590920122,2.3785410021799,3.16535880757022e-33
"Hypermethylated_Upregulated","LOC124901789",2,6.02614927715088,2.50934438030035,0.000855690580649822
"Hypermethylated_Upregulated","RAB17",2,5.99302588351448,2.00762246711543,6.12903602685024e-11
"Hypermethylated_Upregulated","FGD6",1,5.9757129955265,1.31356760684438,8.13770056541443e-14
"Hypermethylated_Upregulated","HAUS6",1,5.96425846807722,2.30278659689958,1.69864019799381e-50
"Hypermethylated_Upregulated","SATB2-AS1",1,5.96425814036047,1.15767036896973,0.0154553150039744
"Hypermethylated_Upregulated","UCHL3",1,5.96034531029577,1.40377705474796,0.0010130131628831
"Hypermethylated_Upregulated","ADAP1",1,5.96032613030607,1.54617421698074,5.89421980577341e-06
"Hypermethylated_Upregulated","EGR1",1,5.96032613030607,1.75304718760078,6.60273438634658e-33
"Hypermethylated_Upregulated","LINC01198",1,5.96032613030607,4.24661279650052,2.21028691799109e-14
"Hypermethylated_Upregulated","EPS8L1",1,5.96030695057071,1.75914225225435,8.47418231271316e-10
"Hypermethylated_Upregulated","FOXD2-AS1",1,5.96030695057071,1.24556393740149,2.52798795192214e-09
"Hypermethylated_Upregulated","ZNF624",1,5.96030695057071,1.53211430791375,4.60650667762984e-18
"Hypermethylated_Upregulated","IGFBP4",2,5.95837941860016,2.74783466699248,5.20414474887886e-73
"Hypermethylated_Upregulated","TLE2",1,5.95539123234164,2.83559056267726,5.06473144568445e-05
"Hypermethylated_Upregulated","FIBCD1",3,5.9320099243918,1.88216467884565,1.51131592866622e-20
"Hypermethylated_Upregulated","LOC101929691",2,5.93133374782951,1.32074811388676,0.0202267011292103
"Hypermethylated_Upregulated","RFLNB",1,5.92860312596465,2.75243212075212,8.13891715046015e-06
"Hypermethylated_Upregulated","NUDT1",1,5.8933762141082,1.56558962978586,9.28668565027953e-12
"Hypermethylated_Upregulated","KLHL12",2,5.8870880824623,1.05367162126963,3.77338672725381e-11
"Hypermethylated_Upregulated","CCDC8",1,5.8836381076277,2.58374178473206,0.00736382347409522
"Hypermethylated_Upregulated","CNN1",1,5.8836381076277,4.64473017257605,1.12753736807278e-17
"Hypermethylated_Upregulated","OR5C1",1,5.8836381076277,2.16343580135665,0.00286929862635835
"Hypermethylated_Upregulated","PACSIN1",1,5.8836381076277,2.2300095324759,0.000294502446261577
"Hypermethylated_Upregulated","TAL1",1,5.8836381076277,7.358265530551,2.06016457727731e-08
"Hypermethylated_Upregulated","F2R",1,5.8836189262807,1.21124812889414,7.76974660380105e-12
"Hypermethylated_Upregulated","ZNF572",1,5.8836189262807,1.48410793557641,5.30752917409541e-05
"Hypermethylated_Upregulated","SLC2A8",1,5.88359974518812,1.16521590110041,2.06774539384489e-12
"Hypermethylated_Upregulated","DDX59",1,5.88358056434996,1.38617794128592,8.89966444769159e-14
"Hypermethylated_Upregulated","ELOC",1,5.88358056434996,1.09227263666862,4.03287312161533e-08
"Hypermethylated_Upregulated","PPL",1,5.88358056434996,1.89587822232344,1.28169333659814e-27
"Hypermethylated_Upregulated","ZNF555",1,5.88358056434996,1.93920372747752,2.13903119016282e-43
"Hypomethylated_Downregulated","AASDHPPT",1,-6.0045660533909,-1.57488689410613,3.12088213842681e-18
"Hypomethylated_Downregulated","LINC01303",1,-3.80233819866617,-1.11915081849139,0.000686709656523295
"Hypomethylated_Downregulated","ARHGAP5",1,-3.66728091416664,-1.91255670890039,3.64074333620594e-56
"Hypomethylated_Downregulated","SGCE",1,-3.66728064016271,-1.10240965939499,5.23384558460998e-14
"Hypomethylated_Downregulated","PAWR",1,-3.51858250752849,-1.60793832347307,1.08396556854276e-30
"Hypomethylated_Downregulated","NPAS3",1,-3.51826140935855,-2.81886389341653,1.63477477080869e-83
"Hypomethylated_Downregulated","FRMD6",1,-3.32673467934071,-1.29859750834508,9.34249227229307e-18
"Hypomethylated_Downregulated","FOXP1",1,-3.16612334855015,-1.27265872282597,3.32769299514742e-19
"Hypomethylated_Downregulated","SYNE1",1,-3.1075554124972,-1.80239523803036,6.05999344368213e-52
"Hypomethylated_Downregulated","GFRA1",1,-2.90605902108087,-1.83995035343645,2.5263988555114e-47
"Hypomethylated_Downregulated","A2M",1,-2.70528986212672,-4.14040985325567,8.65591692794545e-104
"Hypomethylated_Downregulated","AKAP9",1,-2.56145333867043,-1.44734209796719,4.49714659993122e-29
"Hypomethylated_Downregulated","RABIF",1,-2.52526306165342,-1.48480304024172,2.25310323846127e-09
"Hypomethylated_Downregulated","CCDC7",1,-2.52524413749338,-2.09185621231437,5.08352845596003e-15
"Hypomethylated_Downregulated","PI15",2,-2.50991765225806,-5.02825208694987,2.88158215354081e-156
"Hypomethylated_Downregulated","MANSC1",1,-2.38578808617537,-1.01245097030824,3.52817782019768e-10
"Hypomethylated_Downregulated","FBXO38",1,-1.91533665537094,-1.86707307590934,1.9944631452416e-44
"Hypomethylated_Downregulated","PIK3C2B",1,-1.87585793233817,-1.29449235441747,2.67561367913216e-13
"Hypomethylated_Downregulated","NDUFA5",1,-1.684404745052,-1.3855479795696,5.94345156628906e-12
"Hypomethylated_Downregulated","SERPINE2",1,-1.48935768187327,-2.17493912675181,1.00910795160783e-42
"Hypomethylated_Downregulated","TPD52",1,-1.24586572981774,-1.16323520072547,9.11677425112353e-12
"Hypomethylated_Downregulated","LNX1",1,-1.08280582089277,-2.22233073459876,5.67219112630179e-15
"Hypomethylated_Downregulated","ZEB2",4,-0.296484846631572,-2.18872301651853,7.80636187538887e-73
"Hypomethylated_Upregulated","SLC26A4",1,-2.90607794685637,1.48029810047297,0.000742221994352235
"Hypomethylated_Upregulated","LINC02544",1,-2.45548489702394,3.2807588326439,1.30065936519451e-09
"Hypomethylated_Upregulated","C1QTNF7-AS1",1,-2.40270538272313,1.50498166850028,9.26482548081922e-06
"Hypomethylated_Upregulated","ZCCHC2",1,-2.2353105782168,1.83234618818768,5.6464432625879e-46
