"category","SYMBOL","n_promoter_dmrs","mean_logFC","log2FoldChange","padj"
"Hypermethylated_Downregulated","HOXB4",1,7.09198393152765,-1.7188659119054,0.000157940290614914
"Hypermethylated_Downregulated","LINC00910",1,6.83106576255146,-1.85472924667156,1.02306099302749e-09
"Hypermethylated_Downregulated","ST6GALNAC2",1,6.78968587027538,-1.27152341436197,2.55154382226231e-10
"Hypermethylated_Downregulated","IRS1",1,6.60922140254366,-2.68877871125526,1.79414524246784e-111
"Hypermethylated_Downregulated","CNR1",1,6.51931231963249,-2.7185090584044,1.95419458468071e-106
"Hypermethylated_Downregulated","FANCI",1,6.48065213860708,-1.08441166792919,8.72586332276331e-14
"Hypermethylated_Downregulated","CLDN18",1,6.46037376196203,-1.73808162559153,9.81306186186905e-10
"Hypermethylated_Downregulated","VXN",1,6.45965582293024,-2.94028816769291,3.14466120697325e-06
"Hypermethylated_Downregulated","CEP295NL",2,6.40907818739136,-1.88401855166831,3.32798435442596e-14
"Hypermethylated_Downregulated","GSTP1",1,6.40658374968042,-1.94230762638385,5.97305619023728e-26
"Hypermethylated_Downregulated","CASC3",3,6.38403694106795,-1.03885216824745,2.35379868232045e-16
"Hypermethylated_Downregulated","ESRRG",1,6.35091400551393,-1.39707608244521,3.33701043895209e-10
"Hypermethylated_Downregulated","MACROH2A2",1,6.35062483735505,-1.21735624297763,4.21058999003783e-05
"Hypermethylated_Downregulated","PDXK",2,6.34385527983895,-1.1858042499034,4.02084603847132e-21
"Hypermethylated_Downregulated","ZBTB20-AS1",2,6.33242421207391,-2.17425125731877,2.88081641241799e-37
"Hypermethylated_Downregulated","IVD",1,6.29222933906571,-1.35425036159315,1.81830297727467e-21
"Hypermethylated_Downregulated","NCOR2",1,6.28820153342879,-1.26221231878258,5.43508080432306e-16
"Hypermethylated_Downregulated","DBF4B",2,6.2747436357324,-2.00361769484927,1.23774345579713e-33
"Hypermethylated_Downregulated","PPIH",1,6.24372966641691,-1.11586864192489,6.3231749277178e-08
"Hypermethylated_Downregulated","NCAPG2",1,6.23194830339589,-2.11572688373204,1.35448574166545e-44
"Hypermethylated_Downregulated","MPP3",1,6.23192912832498,-1.19586412006836,3.11640964606252e-09
"Hypermethylated_Downregulated","MYO1C",1,6.23189077894543,-1.16664201750833,7.04480843112007e-21
"Hypermethylated_Downregulated","MROH1",2,6.22313156692734,-1.25974644105498,3.12124166639654e-23
"Hypermethylated_Downregulated","PHF19",1,6.19925365928142,-2.58463836238456,1.82552461192494e-68
"Hypermethylated_Downregulated","P4HA2",1,6.18711893523022,-1.97605937628974,1.97282364754488e-45
"Hypermethylated_Downregulated","C1orf159",1,6.16862210026361,-1.40487735663505,1.23760113606444e-09
"Hypermethylated_Downregulated","MAN1B1",2,6.13587467614816,-1.06137303047088,1.05761954857506e-13
"Hypermethylated_Downregulated","SSTR1",1,6.10618990266838,-1.60240645046295,0.00179134179093024
"Hypermethylated_Downregulated","BCOR",1,6.10252873450633,-1.78864380210564,3.76967342693109e-38
"Hypermethylated_Downregulated","LOC112268198",1,6.09017781731214,-1.78144903382314,2.56836315881826e-13
"Hypermethylated_Downregulated","ARHGAP22",1,6.0333242432037,-2.08027428642202,3.20865291127448e-34
"Hypermethylated_Downregulated","DST",1,6.03317827064483,-1.28647351697666,6.53229112711348e-25
"Hypermethylated_Downregulated","PRMT2",1,6.03317827064483,-1.3681849562251,9.2087439507972e-22
"Hypermethylated_Downregulated","TFDP1",1,6.03317827064483,-1.03012386969603,8.31427921815656e-12
"Hypermethylated_Downregulated","VAPB",1,6.03312073550978,-1.39989295498348,8.9604284483418e-32
"Hypermethylated_Downregulated","PLCL2",1,6.01189051008961,-1.114037735627,3.27530669231201e-09
"Hypermethylated_Downregulated","GSDMD",2,5.9929659105634,-1.07706539295703,3.74713010467095e-12
"Hypermethylated_Downregulated","LINC00467",1,5.98969011527807,-1.04641383688211,8.89812164848553e-06
"Hypermethylated_Downregulated","MLLT6",2,5.98805077628129,-1.90299682515543,1.5295933030901e-57
"Hypermethylated_Downregulated","CXXC5",2,5.98069923582472,-2.42312921777421,1.00505982161019e-57
"Hypermethylated_Downregulated","AURKB",2,5.97934967392795,-3.50319492491917,5.29238464383237e-66
"Hypermethylated_Downregulated","NDRG1",3,5.97710707480487,-2.565119434629,1.41356880129664e-107
"Hypermethylated_Downregulated","IER5L",1,5.96425854173861,-1.05223994753338,4.60842085702e-11
"Hypermethylated_Downregulated","SFPQ",1,5.9642575761147,-1.09805954060675,2.43637346725048e-21
"Hypermethylated_Downregulated","IFFO2",1,5.96032613030607,-2.90399545547578,6.10279410132595e-107
"Hypermethylated_Downregulated","SIRT3",1,5.96032613030607,-1.60480845277879,3.68700131553966e-16
"Hypermethylated_Downregulated","KANK1",1,5.96030695057071,-1.19096095045246,2.01911840593086e-22
"Hypermethylated_Downregulated","PLXNA2",1,5.9602877710897,-1.07882644635613,3.44358010527979e-15
"Hypermethylated_Downregulated","CCDC180",1,5.94308432235564,-1.04800919713224,0.00758155214606982
"Hypermethylated_Downregulated","EHD1",2,5.94077042694606,-1.1718127564713,7.16393210240648e-19
"Hypermethylated_Upregulated","GJD3",1,6.6573545642629,5.53608357420326,2.17994144251659e-19
"Hypermethylated_Upregulated","KRT12",1,6.40658374968042,1.63251061279822,0.00206774539493462
"Hypermethylated_Upregulated","SLC39A11",1,6.23190995350817,1.27829772086096,6.78516147019099e-19
"Hypermethylated_Upregulated","MDGA1",1,6.23189077894543,3.05845634565296,3.84999208589004e-115
"Hypermethylated_Upregulated","TMPRSS2",2,6.2310649570911,3.66771128010184,2.00708556310803e-27
"Hypermethylated_Upregulated","MPP2",1,6.22276284858787,1.22042800494422,1.04123564234881e-12
"Hypermethylated_Upregulated","LINC00659",1,6.16866045184777,4.69854156954735,7.51197156193138e-05
"Hypermethylated_Upregulated","RNF157-AS1",1,6.16866045184777,1.01286471706787,0.0415237871323788
"Hypermethylated_Upregulated","CERS4",1,6.16864127592862,3.46975701959325,2.25255313605944e-117
"Hypermethylated_Upregulated","DYNC1I1",1,6.16864127592862,1.71488998666399,2.80583963339875e-29
"Hypermethylated_Upregulated","TESMIN",1,6.1158617914673,2.33224485142912,0.0172568248479986
"Hypermethylated_Upregulated","LINC02999",1,6.10249037970055,3.8638495639287,0.00284912722828745
"Hypermethylated_Upregulated","CNGA1",1,6.09962636653765,3.78009990436212,2.83151789127058e-09
"Hypermethylated_Upregulated","WNK2",1,6.09017653531445,2.83209962427754,6.01168196135145e-16
"Hypermethylated_Upregulated","SRCIN1",2,6.07451124759269,2.65462994587332,5.29625387531149e-27
