"Category","Metric","Value"
"DMR_Overview","Total_DMRs_FDR05","31920"
"DMR_Overview","Total_windows_analyzed","6,176,550"
"DMR_Direction","Hypermethylated_DMRs","29034"
"DMR_Direction","Hypomethylated_DMRs","2886"
"DMR_Direction","Percent_Hypermethylated","91.0%"
"DMR_Direction","Percent_Hypomethylated","9.0%"
"DMR_Direction","Hyper_to_Hypo_Ratio","10.1:1"
"DMR_Effect_Size","Mean_logFC","4.163"
"DMR_Effect_Size","Median_logFC","5.424"
"DMR_Effect_Size","Max_logFC_hyper","7.452"
"DMR_Effect_Size","Min_logFC_hypo","-7.108"
"DMR_Effect_Size","Max_fold_change","175.1"
"DMR_Stringent","DMRs_with_FC_gt_2","31905"
"DMR_Stringent","Percent_FC_gt_2","100.0%"
"DMR_Significance","DMRs_FDR_lt_0.01","2474"
"DMR_Significance","DMRs_FDR_lt_0.001","406"
"DMR_Significance","DMRs_Pvalue_lt_1e-4","6325"
"DMR_CpG_Content","Mean_CpG_per_window","13.2"
"DMR_CpG_Content","Median_CpG_per_window","12.0"
"Genomic_Distribution","DMRs_3_UTR","1637"
"Genomic_Distribution","Percent_3_UTR","5.1%"
"Genomic_Distribution","DMRs_5_UTR","247"
"Genomic_Distribution","Percent_5_UTR","0.8%"
"Genomic_Distribution","DMRs_Downstream","45"
"Genomic_Distribution","Percent_Downstream","0.1%"
"Genomic_Distribution","DMRs_Exon","2592"
"Genomic_Distribution","Percent_Exon","8.1%"
"Genomic_Distribution","DMRs_Intergenic","6366"
"Genomic_Distribution","Percent_Intergenic","20.0%"
"Genomic_Distribution","DMRs_Intron","15191"
"Genomic_Distribution","Percent_Intron","47.6%"
"Genomic_Distribution","DMRs_Promoter","5827"
"Genomic_Distribution","Percent_Promoter","18.3%"
"Gene_Coverage","Unique_genes_with_DMRs","11692"
"Promoter_DMRs","Total_promoter_DMRs","5827"
"Promoter_DMRs","Percent_of_all_DMRs","18.3%"
"Promoter_DMRs","Promoter_hypermethylated","5642"
"Promoter_DMRs","Promoter_hypomethylated","185"
"Promoter_DMRs","Unique_genes_promoter_DMRs","3771"
"Integration","Total_genes_analyzed","33946"
"Integration","Upregulated_DEGs","3721"
"Integration","Downregulated_DEGs","3860"
"Integration","Total_DEGs","7581"
"Integration","Mean_meDIP_signal_GFP","8.60"
"Integration","Mean_meDIP_signal_TES","8.63"
"Correlation","Pearson_r","0.0437"
"Correlation","Pearson_pvalue","8.31e-16"
"Correlation","Spearman_rho","0.0419"
"Correlation","Spearman_pvalue","1.08e-14"
"Gene_Sets","N_All_genes","33967"
"Gene_Sets","N_Highly_expressed_(top_25%)","8492"
"Gene_Sets","N_Lowly_expressed_(bottom_25%)","8492"
"Gene_Sets","N_Upregulated_DEGs","3721"
"Gene_Sets","N_Downregulated_DEGs","3860"
"Gene_Sets","N_Unchanged_genes","26386"
