threshold,n_genes_all,r_all,p_all,n_genes_degs,r_degs,p_degs
Very_Relaxed,9288,0.0745,6.623270241212981e-13,4784,0.1228,1.5536306680121147e-17
Relaxed,9288,0.0745,6.623270241212981e-13,4784,0.1228,1.5536306680121147e-17
Standard,9288,0.0745,6.623270241212981e-13,4784,0.1228,1.5536306680121147e-17
Moderate,1354,0.0333,0.22033503993526724,745,0.0523,0.15397910231008874
Strict,1350,0.0301,0.26881615701154626,744,0.0504,0.16977257556997882
Very_Strict,254,-0.0692,0.2717992144373428,150,-0.0487,0.554242187303174
