"SYMBOL","n_genebody_dmrs","mean_logFC_genebody","log2FoldChange","padj","Category"
"CDH11",2,6.03339362041626,-3.51266605280108,1.84652099612702e-194,"GeneBody_Hyper_Down"
"MPP3",1,6.0331590920122,-1.19586412006836,3.11640964606252e-09,"GeneBody_Hyper_Down"
"UNC80",1,6.0331590920122,-3.77897609098836,3.00440997885515e-27,"GeneBody_Hyper_Down"
"MAMDC2-AS1",1,6.03313991363385,-1.79819145702914,7.50816215044318e-14,"GeneBody_Hyper_Down"
"NUDT21",2,6.02613009851795,-1.09884630765135,2.29180140547007e-10,"GeneBody_Hyper_Down"
"CCDC71L",1,6.02444029270118,-1.03965167657725,9.71651721973048e-09,"GeneBody_Hyper_Down"
"IFFO2",4,5.97912309422427,-2.90399545547578,6.10279410132595e-107,"GeneBody_Hyper_Down"
"SHOC1",2,5.96231548727481,-1.06947473405614,7.90683764134751e-05,"GeneBody_Hyper_Down"
"GRHL3",1,5.96034531029577,-1.30683460547786,0.00266753343408355,"GeneBody_Hyper_Down"
"CNTNAP1",1,5.96032613030607,-1.8190372078276,1.21382480044796e-35,"GeneBody_Hyper_Down"
"SAMD4A",1,5.96032613030607,-1.86964020366458,3.72176478882022e-38,"GeneBody_Hyper_Down"
"ARHGAP5",1,5.96030695057071,-1.91255670890039,3.64074333620594e-56,"GeneBody_Hyper_Down"
"GTSE1",1,5.96030695057071,-3.75532134807887,1.92776570590338e-70,"GeneBody_Hyper_Down"
"MCC",1,5.9602877710897,-2.33035239367809,2.83826861062824e-84,"GeneBody_Hyper_Down"
"ASF1B",2,5.95846002544118,-1.13346989240436,1.73063381899651e-08,"GeneBody_Hyper_Down"
"PVR",1,5.94308433322233,-1.55593731269292,9.55269142729332e-37,"GeneBody_Hyper_Down"
"UNKL",1,5.94308432577091,-1.28595216914285,4.34292855620582e-11,"GeneBody_Hyper_Down"
"PREP",2,5.94194008220216,-1.27204346626244,6.78433182022857e-24,"GeneBody_Hyper_Down"
"NCAPG2",2,5.92868047408669,-2.11572688373204,1.35448574166545e-44,"GeneBody_Hyper_Down"
"IQGAP3",2,5.92685861186004,-3.90097834481103,5.83149990933152e-128,"GeneBody_Hyper_Down"
"RAB20",1,5.92311229102566,-2.67624174316665,1.30260629135186e-31,"GeneBody_Hyper_Down"
"TICRR",3,5.92158674823207,-1.73535829956323,3.66345571915571e-32,"GeneBody_Hyper_Down"
"MIR4435-2HG",2,5.90818548481795,-2.80062352254469,1.04170607073573e-89,"GeneBody_Hyper_Down"
"MYOT",1,5.8933757583882,-1.84100864186724,0.0364233117946474,"GeneBody_Hyper_Down"
"CCN5",1,6.37573197505195,4.99766906789931,7.27404059876004e-19,"GeneBody_Hyper_Up"
"LRP8",2,6.37495732285653,1.84552703434232,1.49372774746366e-45,"GeneBody_Hyper_Up"
"NEK8",1,6.3620070443066,1.01724018502705,1.7077424805484e-06,"GeneBody_Hyper_Up"
"SEMA5B",1,6.35455714220748,1.68395828126764,3.14676863990716e-20,"GeneBody_Hyper_Up"
"CDK5RAP3",2,6.33658454983579,1.82945377300046,5.27870452576956e-19,"GeneBody_Hyper_Up"
"SAMD1",1,6.29256394291047,1.23516742650043,6.04414056937719e-16,"GeneBody_Hyper_Up"
"HMGA1",1,6.29252105866604,2.71046429825408,1.17517405266379e-70,"GeneBody_Hyper_Up"
"C2orf92",1,6.23559867786635,1.35163495264727,1.80370581700167e-09,"GeneBody_Hyper_Up"
"FAM91A1",1,6.23194830339589,1.13681751441007,1.6767585809978e-15,"GeneBody_Hyper_Up"
"LMTK3",1,6.23194830339589,2.37393398052176,5.35928529310178e-27,"GeneBody_Hyper_Up"
"MAPT",2,6.22277077978605,1.49254618711597,7.10008571131751e-16,"GeneBody_Hyper_Up"
"SLC22A1",1,6.17658480813726,1.74773529027153,1.69197976772152e-11,"GeneBody_Hyper_Up"
"SRD5A3-AS1",1,6.16924167878425,1.47808284363943,0.000566047139887879,"GeneBody_Hyper_Up"
"BMP7",1,6.16866045184777,4.18913863867845,0.00675586386614521,"GeneBody_Hyper_Up"
"SOCS1",1,6.16866045184777,1.79876527732373,1.68351113136233e-12,"GeneBody_Hyper_Up"
"CA11",1,6.16862210026361,1.11744142668112,4.4056406396378e-08,"GeneBody_Hyper_Up"
"FRYL",1,6.16862210026361,1.01386136717231,1.20325179564889e-15,"GeneBody_Hyper_Up"
"OTOF",2,6.15549793274146,1.18149332607475,0.0113946321388753,"GeneBody_Hyper_Up"
"NECTIN1-AS1",1,6.15253661290492,1.83635018015779,0.0374158597630405,"GeneBody_Hyper_Up"
"SLC25A48",3,6.11224471951888,4.22156604370196,0.00614411527874288,"GeneBody_Hyper_Up"
"LINC01206",1,6.10252873450633,2.04678066049993,1.11724282352325e-19,"GeneBody_Hyper_Up"
"NEUROG2",1,6.10249037970055,4.86570705288058,2.62727427749259e-05,"GeneBody_Hyper_Up"
"LOC105370969",2,6.04052908423007,2.98329873166769,5.49295481861853e-05,"GeneBody_Hyper_Up"
"SELENOW",1,6.03331904343639,1.05744690463416,2.81067271958507e-06,"GeneBody_Hyper_Up"
"MRAP",1,6.03331841983467,1.15014518766034,0.00670858873131758,"GeneBody_Hyper_Up"
"LHFPL3-AS2",1,6.03317827064483,4.32043876638386,7.60292816563144e-19,"GeneBody_Hyper_Up"
"LINC01451",1,6.03317827064483,1.1625426683497,0.0153272415227591,"GeneBody_Hyper_Up"
"LY96",1,6.03313991363385,1.42639051625552,4.14854734929408e-11,"GeneBody_Hyper_Up"
"GARIN1B",1,6.03312073550978,3.23323090063994,2.52822398089732e-31,"GeneBody_Hyper_Up"
"LRRC61",1,6.02444040217309,4.34736627262897,1.40696755870719e-07,"GeneBody_Hyper_Up"
"B3GNT2",3,6.0159802182509,2.45790301984023,1.58170840414062e-62,"GeneBody_Hyper_Up"
"CDH3",3,6.01126595325517,3.51422391210839,6.82570181785956e-26,"GeneBody_Hyper_Up"
"APOO",2,6.0049188864712,1.02652771071723,2.5303846238497e-06,"GeneBody_Hyper_Up"
"LINC01819",2,5.99867118910291,2.20586064765603,0.00774395356543542,"GeneBody_Hyper_Up"
"TNFRSF8",1,5.98969008091612,5.20683391637565,5.35533794125642e-06,"GeneBody_Hyper_Up"
"COPG2",6,5.98889035975222,1.11806736223763,1.09041156032824e-14,"GeneBody_Hyper_Up"
"TTLL6",1,5.97571280967262,1.53700285130327,4.73972719947992e-06,"GeneBody_Hyper_Up"
"SLC26A2",3,5.97522972043806,1.26873566347561,9.06676483320646e-18,"GeneBody_Hyper_Up"
"DIPK1A",1,5.96425785823713,2.40353341029017,1.79680877852393e-41,"GeneBody_Hyper_Up"
"AQP1",1,5.96034531029577,1.59479799087495,1.02673355275115e-06,"GeneBody_Hyper_Up"
"CEACAM22P",1,5.96032613030607,4.78281618617101,7.39858574623805e-42,"GeneBody_Hyper_Up"
"MMD",1,5.96032613030607,1.41899208265469,1.92281419591649e-14,"GeneBody_Hyper_Up"
"MSANTD1",1,5.96030695057071,1.52627737378214,4.51278243777133e-06,"GeneBody_Hyper_Up"
"SCARF1",1,5.96030695057071,1.00184831263366,0.0303211294477037,"GeneBody_Hyper_Up"
"SLC4A11",1,5.96030695057071,1.70638818365198,6.5855929035011e-11,"GeneBody_Hyper_Up"
"DHCR24",1,5.9602877710897,2.16455133552493,2.17480833737205e-71,"GeneBody_Hyper_Up"
"LOC105377448",1,5.9602877710897,2.31518453936675,0.0318403083811586,"GeneBody_Hyper_Up"
"PHTF2",2,5.95838900791647,1.02380310092927,9.99302437711487e-12,"GeneBody_Hyper_Up"
"ZNF236-DT",1,5.95539130258541,1.52334208747297,7.82253247991529e-06,"GeneBody_Hyper_Up"
"NTN5",1,5.95539067036687,1.14348195370734,0.0451656767623588,"GeneBody_Hyper_Up"
"CCDC7",1,-5.74601856423617,-2.09185621231437,5.08352845596003e-15,"GeneBody_Hypo"
"LINC01776",1,-5.74601856423617,-3.69329580591422,1.17781929602132e-20,"GeneBody_Hypo"
"ADGRG7",1,-5.7460182902323,2.98500554608867,1.59578314635165e-16,"GeneBody_Hypo"
"GLCE",1,-5.74587947837636,1.8714031245709,2.75194286260353e-34,"GeneBody_Hypo"
"UNC5C",2,-4.7741689173667,-3.14050847859916,1.84459044230968e-127,"GeneBody_Hypo"
"PARAIL",1,-4.14407503664704,-1.98035733740297,2.91144367346943e-37,"GeneBody_Hypo"
"PDC-AS1",1,-4.13605268633649,1.16520037856131,2.4288492308296e-09,"GeneBody_Hypo"
"FGF13",1,-4.03957564419321,-1.27426992777788,2.43677962406447e-13,"GeneBody_Hypo"
"NLGN1-AS1",1,-4.03955589413826,-2.92996737994309,1.18061191691458e-27,"GeneBody_Hypo"
"DCT",1,-3.92582812931744,2.5555633523475,1.44284391772676e-06,"GeneBody_Hypo"
"CCDC110",1,-3.92582758138144,1.44138711622662,0.0001926921535721,"GeneBody_Hypo"
"CEP128",1,-3.92580865319452,-1.3971926955267,9.72775468043388e-10,"GeneBody_Hypo"
"EVA1A",1,-3.80595305170837,-1.23060923554926,1.61903218687146e-13,"GeneBody_Hypo"
"LNCAROD",1,-3.80233847265212,-4.07955505403326,5.39853037188326e-65,"GeneBody_Hypo"
"COL8A1",1,-3.80233819866617,-3.6564954861073,1.10621260980863e-82,"GeneBody_Hypo"
"OSBPL10-AS1",1,-3.80233819866617,-3.78838204834249,1.05674399171422e-27,"GeneBody_Hypo"
"PAM",1,-3.80231954448323,-1.74859259585572,3.26084485037725e-36,"GeneBody_Hypo"
"B3GALT1",1,-3.80231927049722,4.13215695002057,0.00108698002420411,"GeneBody_Hypo"
"ETNK1",1,-3.80231927049722,-1.60422098260957,1.46099758802117e-29,"GeneBody_Hypo"
"HECW2",1,-3.80231927049722,2.91153855654138,8.67830423664947e-10,"GeneBody_Hypo"
"IL6",1,-3.80231927049722,-3.31529599703815,1.75600716160925e-44,"GeneBody_Hypo"
"PON2",1,-3.80231927049722,-1.21804856180544,6.69721028929945e-09,"GeneBody_Hypo"
"BBOX1-AS1",1,-3.80231899651128,-3.38426623362124,7.71544208084955e-08,"GeneBody_Hypo"
"SYT2",1,-3.80231899651128,1.62346681240217,1.32350883567647e-07,"GeneBody_Hypo"
"TMTC2",2,-3.67614852390307,1.48232867820646,1.44986394037633e-11,"GeneBody_Hypo"
"MID1",1,-3.66971350257419,-4.14934057568253,2.46833474791903e-192,"GeneBody_Hypo"
"LIX1",1,-3.66728091416664,1.63714563544543,0.0024748364252693,"GeneBody_Hypo"
"KITLG",1,-3.66728064016271,-3.68828437349792,2.52941219930373e-90,"GeneBody_Hypo"
"MSRB3",1,-3.66728064016271,-2.47679342621079,3.5583508789463e-36,"GeneBody_Hypo"
"CMTM8",1,-3.66728036615884,2.36460878158594,1.07500779578867e-28,"GeneBody_Hypo"
"SYT17",1,-3.60299061807564,4.02164381752232,0.000135322450904071,"GeneBody_Hypo"
"CTNNA2",1,-3.5186690909743,-1.52794508049653,8.30124086907982e-18,"GeneBody_Hypo"
"RIOK2",1,-3.51866862547354,-1.32057540431379,2.12652095101024e-09,"GeneBody_Hypo"
"FHIT",1,-3.51858362814794,1.40059262747355,0.0178213019897678,"GeneBody_Hypo"
"FGF14",1,-3.51826140935855,-1.44487442170793,0.00188208361031003,"GeneBody_Hypo"
"KLF5",1,-3.51826140935855,1.13931420716612,1.13454881149204e-16,"GeneBody_Hypo"
"TRIM2",2,-3.51826140935855,-1.35890468327921,6.45462263124612e-33,"GeneBody_Hypo"
"CSGALNACT1",1,-3.5182611353367,1.82141544391429,3.31828304306595e-06,"GeneBody_Hypo"
"CYP3A5",1,-3.5182611353367,1.00069145276709,4.6551247823219e-07,"GeneBody_Hypo"
"LINC01140",1,-3.5182611353367,4.06898898741664,3.11189376712137e-56,"GeneBody_Hypo"
"LOC107986821",1,-3.5182611353367,-1.70807382908889,0.00844970525888557,"GeneBody_Hypo"
"CDC42EP3",2,-3.37337413123689,-1.65464718905816,3.21212893122228e-31,"GeneBody_Hypo"
"RARB",3,-3.34581656176134,-3.21209099783835,1.33757706879539e-122,"GeneBody_Hypo"
"DDAH1",1,-3.32830970322422,-1.4102552100202,7.2152491043011e-24,"GeneBody_Hypo"
"SSPN",1,-3.22130374925909,-1.23876429041568,0.000615607104162833,"GeneBody_Hypo"
"EPSTI1",1,-3.22130347530898,-3.75459301799046,3.19863847378109e-144,"GeneBody_Hypo"
"CCDC80",1,-3.22128400030901,-2.34334935766562,1.73043385340658e-60,"GeneBody_Hypo"
"LINC01111",1,-3.22095831949585,-3.96004088084632,1.02048503927306e-07,"GeneBody_Hypo"
"PDE11A",1,-3.22067894766995,1.19158748534378,0.00015980133881132,"GeneBody_Hypo"
"VAT1L",2,-3.19037039592487,1.90545235035586,1.36128942548631e-11,"GeneBody_Hypo"
