"SYMBOL","n_genebody_dmrs","mean_logFC_genebody","log2FoldChange","padj","Category"
"C1QTNF1",1,6.65759010556554,-2.014040689139,1.49372774746366e-45,"GeneBody_Hyper_Down"
"CLIP4",1,6.55796175949303,-1.60368622276654,1.14641233881527e-37,"GeneBody_Hyper_Down"
"IER5L",1,6.54714152525229,-1.05223994753338,4.60842085702e-11,"GeneBody_Hyper_Down"
"OR7E2P",1,6.51226650342151,-1.74323913535402,2.49086377458522e-05,"GeneBody_Hyper_Down"
"PDIA5",1,6.46039293160897,-1.05240079852838,1.33263164836489e-11,"GeneBody_Hyper_Down"
"HAUS8",1,6.35062479929168,-1.77242179134549,2.59847993682152e-13,"GeneBody_Hyper_Down"
"DDX17",1,6.29344397485757,-2.08140050100883,2.42376231151034e-68,"GeneBody_Hyper_Down"
"SIM1",1,6.29250188520547,-2.49858880475138,6.04641423245332e-10,"GeneBody_Hyper_Down"
"ZIC4",1,6.29222971799126,-1.0514161548328,1.16637073402743e-06,"GeneBody_Hyper_Down"
"CFD",1,6.29222909238992,-1.24397236518887,0.0429744628100726,"GeneBody_Hyper_Down"
"PDXK",1,6.26918894443027,-1.1858042499034,4.02084603847132e-21,"GeneBody_Hyper_Down"
"PHF19",1,6.24372888444441,-2.58463836238456,1.82552461192494e-68,"GeneBody_Hyper_Down"
"LOC101927245",1,6.23189077894543,-1.90137397198343,2.30107233172773e-07,"GeneBody_Hyper_Down"
"LOC101929494",1,6.23020261863036,-1.78239557253221,0.00186941037140352,"GeneBody_Hyper_Down"
"CASC3",4,6.21679245280619,-1.03885216824745,2.35379868232045e-16,"GeneBody_Hyper_Down"
"RAD51",1,6.2000294102535,-1.11417002868368,5.48591148635389e-05,"GeneBody_Hyper_Down"
"EIF2AK4",1,6.16867962802106,-1.0433753172083,1.15085641815021e-16,"GeneBody_Hyper_Down"
"KIF6",1,6.16867962802106,-1.6262534623403,1.62710344916511e-07,"GeneBody_Hyper_Down"
"LRP1B",1,6.16867962802106,-1.29513057594211,2.86818321833037e-19,"GeneBody_Hyper_Down"
"TRIM9",1,6.12836653319784,-1.97281836299037,3.92216498142195e-46,"GeneBody_Hyper_Down"
"MYO5C",1,6.10618893266399,-1.16208557304377,8.37919064882106e-13,"GeneBody_Hyper_Down"
"SLC35G2",1,6.10250955697633,-1.0408516301073,7.93031052263644e-09,"GeneBody_Hyper_Down"
"GPR55",1,6.10247120267899,-2.44782923374643,0.0124772204747138,"GeneBody_Hyper_Down"
"DSN1",2,6.0961276269833,-2.18734765344876,3.83240961054252e-22,"GeneBody_Hyper_Down"
"C3orf49",2,6.07302092546285,-1.09451440922772,0.00316537070938696,"GeneBody_Hyper_Down"
"NUAK2",3,6.06705964785861,-1.47862589219608,1.01443728639951e-25,"GeneBody_Hyper_Down"
