"Group","N","TES_meth_mean","TES_meth_median","GFP_meth_mean","GFP_meth_median","Diff_mean","Diff_median","wilcox_pvalue_vs_group1","wilcox_pvalue_vs_random"
"DEGs_DOWN_with_binding",685,9.49794375552786,8.80821751219512,11.0890578926473,10.9093701707317,-1.59111413711946,-2.71201795121951,NA,1.30457040605878e-09
"DEGs_DOWN_without_binding",3290,9.29981054797983,8.87181473170732,9.28064173884647,8.9687981097561,0.0191688091333679,-0.738639780487804,1.08317506583987e-17,0.000664166507605443
"Random_control",69,9.07640007352421,8.86566524390244,7.12640913538353,6.12648775609756,1.94999093814069,1.51651065853659,1.30457040605878e-09,NA
