"group","n","mean_log2FC","median_log2FC","sd_log2FC"
"binding_DMR",69,-1.5498476818405,-1.3072480204946,1.03475184454881
"binding_noDMR",616,-1.63327035865878,-1.22945179054644,1.23244918445985
"noBinding_DMR",274,-1.16619937930982,-0.906155811228359,0.811248971581661
"noBinding_noDMR",3016,-1.29616373459617,-1.03037682048566,0.915205146501939
