"gene_id","group"
"ENSG00000038427","DEGs_DOWN_binding_DMR"
"ENSG00000137558","DEGs_DOWN_binding_DMR"
"ENSG00000122786","DEGs_DOWN_binding_DMR"
"ENSG00000147862","DEGs_DOWN_binding_DMR"
"ENSG00000185942","DEGs_DOWN_binding_DMR"
"ENSG00000105810","DEGs_DOWN_binding_DMR"
"ENSG00000277075","DEGs_DOWN_binding_DMR"
"ENSG00000169760","DEGs_DOWN_binding_DMR"
"ENSG00000151322","DEGs_DOWN_binding_DMR"
"ENSG00000107186","DEGs_DOWN_binding_DMR"
"ENSG00000152894","DEGs_DOWN_binding_DMR"
"ENSG00000062725","DEGs_DOWN_binding_DMR"
"ENSG00000154978","DEGs_DOWN_binding_DMR"
"ENSG00000273802","DEGs_DOWN_binding_DMR"
"ENSG00000150938","DEGs_DOWN_binding_DMR"
"ENSG00000078269","DEGs_DOWN_binding_DMR"
"ENSG00000182628","DEGs_DOWN_binding_DMR"
"ENSG00000171150","DEGs_DOWN_binding_DMR"
"ENSG00000055208","DEGs_DOWN_binding_DMR"
"ENSG00000158528","DEGs_DOWN_binding_DMR"
"ENSG00000079931","DEGs_DOWN_binding_DMR"
"ENSG00000128923","DEGs_DOWN_binding_DMR"
"ENSG00000198846","DEGs_DOWN_binding_DMR"
"ENSG00000177694","DEGs_DOWN_binding_DMR"
"ENSG00000124225","DEGs_DOWN_binding_DMR"
"ENSG00000117724","DEGs_DOWN_binding_DMR"
"ENSG00000168702","DEGs_DOWN_binding_DMR"
"ENSG00000114861","DEGs_DOWN_binding_DMR"
"ENSG00000154188","DEGs_DOWN_binding_DMR"
"ENSG00000139218","DEGs_DOWN_binding_DMR"
"ENSG00000166938","DEGs_DOWN_binding_DMR"
"ENSG00000165071","DEGs_DOWN_binding_DMR"
"ENSG00000145012","DEGs_DOWN_binding_DMR"
"ENSG00000177200","DEGs_DOWN_binding_DMR"
"ENSG00000130449","DEGs_DOWN_binding_DMR"
"ENSG00000188001","DEGs_DOWN_binding_DMR"
"ENSG00000072201","DEGs_DOWN_binding_DMR"
"ENSG00000149571","DEGs_DOWN_binding_DMR"
"ENSG00000075711","DEGs_DOWN_binding_DMR"
"ENSG00000076554","DEGs_DOWN_binding_DMR"
"ENSG00000092621","DEGs_DOWN_binding_DMR"
"ENSG00000138119","DEGs_DOWN_binding_DMR"
"ENSG00000145715","DEGs_DOWN_binding_DMR"
"ENSG00000174799","DEGs_DOWN_binding_DMR"
"ENSG00000157985","DEGs_DOWN_binding_DMR"
"ENSG00000172379","DEGs_DOWN_binding_DMR"
"ENSG00000175662","DEGs_DOWN_binding_DMR"
"ENSG00000182197","DEGs_DOWN_binding_DMR"
"ENSG00000134138","DEGs_DOWN_binding_DMR"
"ENSG00000134986","DEGs_DOWN_binding_DMR"
"ENSG00000109220","DEGs_DOWN_binding_DMR"
"ENSG00000084093","DEGs_DOWN_binding_DMR"
"ENSG00000084733","DEGs_DOWN_binding_DMR"
"ENSG00000171174","DEGs_DOWN_binding_DMR"
"ENSG00000120370","DEGs_DOWN_binding_DMR"
"ENSG00000143067","DEGs_DOWN_binding_DMR"
"ENSG00000110841","DEGs_DOWN_binding_DMR"
"ENSG00000119139","DEGs_DOWN_binding_DMR"
"ENSG00000182534","DEGs_DOWN_binding_DMR"
"ENSG00000128585","DEGs_DOWN_binding_DMR"
"ENSG00000149289","DEGs_DOWN_binding_DMR"
"ENSG00000243147","DEGs_DOWN_binding_DMR"
"ENSG00000172061","DEGs_DOWN_binding_DMR"
"ENSG00000153317","DEGs_DOWN_binding_DMR"
"ENSG00000173950","DEGs_DOWN_binding_DMR"
"ENSG00000137055","DEGs_DOWN_binding_DMR"
"ENSG00000180613","DEGs_DOWN_binding_DMR"
"ENSG00000101596","DEGs_DOWN_binding_DMR"
"ENSG00000166262","DEGs_DOWN_binding_DMR"
"ENSG00000060718","DEGs_DOWN_binding_noDMR"
"ENSG00000137801","DEGs_DOWN_binding_noDMR"
"ENSG00000114019","DEGs_DOWN_binding_noDMR"
"ENSG00000162733","DEGs_DOWN_binding_noDMR"
"ENSG00000118523","DEGs_DOWN_binding_noDMR"
"ENSG00000287080","DEGs_DOWN_binding_noDMR"
"ENSG00000154175","DEGs_DOWN_binding_noDMR"
"ENSG00000162496","DEGs_DOWN_binding_noDMR"
"ENSG00000206579","DEGs_DOWN_binding_noDMR"
"ENSG00000142871","DEGs_DOWN_binding_noDMR"
"ENSG00000131095","DEGs_DOWN_binding_noDMR"
"ENSG00000149212","DEGs_DOWN_binding_noDMR"
"ENSG00000163235","DEGs_DOWN_binding_noDMR"
"ENSG00000139793","DEGs_DOWN_binding_noDMR"
"ENSG00000286522","DEGs_DOWN_binding_noDMR"
"ENSG00000115159","DEGs_DOWN_binding_noDMR"
"ENSG00000105855","DEGs_DOWN_binding_noDMR"
"ENSG00000132470","DEGs_DOWN_binding_noDMR"
"ENSG00000044524","DEGs_DOWN_binding_noDMR"
"ENSG00000188039","DEGs_DOWN_binding_noDMR"
"ENSG00000146250","DEGs_DOWN_binding_noDMR"
"ENSG00000180891","DEGs_DOWN_binding_noDMR"
"ENSG00000105974","DEGs_DOWN_binding_noDMR"
"ENSG00000150347","DEGs_DOWN_binding_noDMR"
"ENSG00000129474","DEGs_DOWN_binding_noDMR"
"ENSG00000135074","DEGs_DOWN_binding_noDMR"
"ENSG00000077092","DEGs_DOWN_binding_noDMR"
"ENSG00000156011","DEGs_DOWN_binding_noDMR"
"ENSG00000057019","DEGs_DOWN_binding_noDMR"
"ENSG00000152104","DEGs_DOWN_binding_noDMR"
"ENSG00000111799","DEGs_DOWN_binding_noDMR"
"ENSG00000180801","DEGs_DOWN_binding_noDMR"
"ENSG00000171848","DEGs_DOWN_binding_noDMR"
"ENSG00000148541","DEGs_DOWN_binding_noDMR"
"ENSG00000145349","DEGs_DOWN_binding_noDMR"
"ENSG00000150457","DEGs_DOWN_binding_noDMR"
"ENSG00000187837","DEGs_DOWN_binding_noDMR"
"ENSG00000151458","DEGs_DOWN_binding_noDMR"
"ENSG00000026025","DEGs_DOWN_binding_noDMR"
"ENSG00000115353","DEGs_DOWN_binding_noDMR"
"ENSG00000115380","DEGs_DOWN_binding_noDMR"
"ENSG00000162692","DEGs_DOWN_binding_noDMR"
"ENSG00000169047","DEGs_DOWN_binding_noDMR"
"ENSG00000172123","DEGs_DOWN_binding_noDMR"
"ENSG00000126785","DEGs_DOWN_binding_noDMR"
"ENSG00000169715","DEGs_DOWN_binding_noDMR"
"ENSG00000184304","DEGs_DOWN_binding_noDMR"
"ENSG00000175899","DEGs_DOWN_binding_noDMR"
"ENSG00000071282","DEGs_DOWN_binding_noDMR"
"ENSG00000277224","DEGs_DOWN_binding_noDMR"
"ENSG00000071575","DEGs_DOWN_binding_noDMR"
"ENSG00000151718","DEGs_DOWN_binding_noDMR"
"ENSG00000150540","DEGs_DOWN_binding_noDMR"
"ENSG00000047457","DEGs_DOWN_binding_noDMR"
"ENSG00000104047","DEGs_DOWN_binding_noDMR"
"ENSG00000078018","DEGs_DOWN_binding_noDMR"
"ENSG00000136205","DEGs_DOWN_binding_noDMR"
"ENSG00000111269","DEGs_DOWN_binding_noDMR"
"ENSG00000171444","DEGs_DOWN_binding_noDMR"
"ENSG00000144810","DEGs_DOWN_binding_noDMR"
"ENSG00000172201","DEGs_DOWN_binding_noDMR"
"ENSG00000151012","DEGs_DOWN_binding_noDMR"
"ENSG00000122870","DEGs_DOWN_binding_noDMR"
"ENSG00000126016","DEGs_DOWN_binding_noDMR"
"ENSG00000168298","DEGs_DOWN_binding_noDMR"
"ENSG00000144681","DEGs_DOWN_binding_noDMR"
"ENSG00000134824","DEGs_DOWN_binding_noDMR"
"ENSG00000138193","DEGs_DOWN_binding_noDMR"
"ENSG00000277443","DEGs_DOWN_binding_noDMR"
"ENSG00000105137","DEGs_DOWN_binding_noDMR"
"ENSG00000060982","DEGs_DOWN_binding_noDMR"
"ENSG00000112984","DEGs_DOWN_binding_noDMR"
"ENSG00000163428","DEGs_DOWN_binding_noDMR"
"ENSG00000278463","DEGs_DOWN_binding_noDMR"
"ENSG00000075391","DEGs_DOWN_binding_noDMR"
"ENSG00000094916","DEGs_DOWN_binding_noDMR"
"ENSG00000075426","DEGs_DOWN_binding_noDMR"
"ENSG00000133121","DEGs_DOWN_binding_noDMR"
"ENSG00000139734","DEGs_DOWN_binding_noDMR"
"ENSG00000171451","DEGs_DOWN_binding_noDMR"
"ENSG00000091986","DEGs_DOWN_binding_noDMR"
"ENSG00000145623","DEGs_DOWN_binding_noDMR"
"ENSG00000146674","DEGs_DOWN_binding_noDMR"
"ENSG00000155090","DEGs_DOWN_binding_noDMR"
"ENSG00000107551","DEGs_DOWN_binding_noDMR"
"ENSG00000140416","DEGs_DOWN_binding_noDMR"
"ENSG00000276410","DEGs_DOWN_binding_noDMR"
"ENSG00000132274","DEGs_DOWN_binding_noDMR"
"ENSG00000137807","DEGs_DOWN_binding_noDMR"
"ENSG00000196954","DEGs_DOWN_binding_noDMR"
"ENSG00000178776","DEGs_DOWN_binding_noDMR"
"ENSG00000167900","DEGs_DOWN_binding_noDMR"
"ENSG00000151746","DEGs_DOWN_binding_noDMR"
"ENSG00000101134","DEGs_DOWN_binding_noDMR"
"ENSG00000222009","DEGs_DOWN_binding_noDMR"
"ENSG00000134369","DEGs_DOWN_binding_noDMR"
"ENSG00000152952","DEGs_DOWN_binding_noDMR"
"ENSG00000165072","DEGs_DOWN_binding_noDMR"
"ENSG00000109099","DEGs_DOWN_binding_noDMR"
"ENSG00000167767","DEGs_DOWN_binding_noDMR"
"ENSG00000112186","DEGs_DOWN_binding_noDMR"
"ENSG00000118762","DEGs_DOWN_binding_noDMR"
"ENSG00000134352","DEGs_DOWN_binding_noDMR"
"ENSG00000181458","DEGs_DOWN_binding_noDMR"
"ENSG00000129038","DEGs_DOWN_binding_noDMR"
"ENSG00000142627","DEGs_DOWN_binding_noDMR"
"ENSG00000196196","DEGs_DOWN_binding_noDMR"
"ENSG00000177469","DEGs_DOWN_binding_noDMR"
"ENSG00000137185","DEGs_DOWN_binding_noDMR"
"ENSG00000018510","DEGs_DOWN_binding_noDMR"
"ENSG00000107984","DEGs_DOWN_binding_noDMR"
"ENSG00000167601","DEGs_DOWN_binding_noDMR"
"ENSG00000139354","DEGs_DOWN_binding_noDMR"
"ENSG00000181722","DEGs_DOWN_binding_noDMR"
"ENSG00000136244","DEGs_DOWN_binding_noDMR"
"ENSG00000121440","DEGs_DOWN_binding_noDMR"
"ENSG00000064666","DEGs_DOWN_binding_noDMR"
"ENSG00000132640","DEGs_DOWN_binding_noDMR"
"ENSG00000196159","DEGs_DOWN_binding_noDMR"
"ENSG00000114346","DEGs_DOWN_binding_noDMR"
"ENSG00000158406","DEGs_DOWN_binding_noDMR"
"ENSG00000039560","DEGs_DOWN_binding_noDMR"
"ENSG00000179300","DEGs_DOWN_binding_noDMR"
"ENSG00000150630","DEGs_DOWN_binding_noDMR"
"ENSG00000184260","DEGs_DOWN_binding_noDMR"
"ENSG00000122420","DEGs_DOWN_binding_noDMR"
"ENSG00000183111","DEGs_DOWN_binding_noDMR"
"ENSG00000145632","DEGs_DOWN_binding_noDMR"
"ENSG00000163513","DEGs_DOWN_binding_noDMR"
"ENSG00000145416","DEGs_DOWN_binding_noDMR"
"ENSG00000169083","DEGs_DOWN_binding_noDMR"
"ENSG00000183840","DEGs_DOWN_binding_noDMR"
"ENSG00000196932","DEGs_DOWN_binding_noDMR"
"ENSG00000115504","DEGs_DOWN_binding_noDMR"
"ENSG00000148848","DEGs_DOWN_binding_noDMR"
"ENSG00000093144","DEGs_DOWN_binding_noDMR"
"ENSG00000174099","DEGs_DOWN_binding_noDMR"
"ENSG00000115594","DEGs_DOWN_binding_noDMR"
"ENSG00000186767","DEGs_DOWN_binding_noDMR"
"ENSG00000168679","DEGs_DOWN_binding_noDMR"
"ENSG00000139289","DEGs_DOWN_binding_noDMR"
"ENSG00000074800","DEGs_DOWN_binding_noDMR"
"ENSG00000256235","DEGs_DOWN_binding_noDMR"
"ENSG00000164442","DEGs_DOWN_binding_noDMR"
"ENSG00000145431","DEGs_DOWN_binding_noDMR"
"ENSG00000064309","DEGs_DOWN_binding_noDMR"
"ENSG00000150995","DEGs_DOWN_binding_noDMR"
"ENSG00000124479","DEGs_DOWN_binding_noDMR"
"ENSG00000180530","DEGs_DOWN_binding_noDMR"
"ENSG00000164294","DEGs_DOWN_binding_noDMR"
"ENSG00000137177","DEGs_DOWN_binding_noDMR"
"ENSG00000165480","DEGs_DOWN_binding_noDMR"
"ENSG00000134061","DEGs_DOWN_binding_noDMR"
"ENSG00000177707","DEGs_DOWN_binding_noDMR"
"ENSG00000091656","DEGs_DOWN_binding_noDMR"
"ENSG00000117174","DEGs_DOWN_binding_noDMR"
"ENSG00000145860","DEGs_DOWN_binding_noDMR"
"ENSG00000139832","DEGs_DOWN_binding_noDMR"
"ENSG00000105948","DEGs_DOWN_binding_noDMR"
"ENSG00000166068","DEGs_DOWN_binding_noDMR"
"ENSG00000035862","DEGs_DOWN_binding_noDMR"
"ENSG00000133083","DEGs_DOWN_binding_noDMR"
"ENSG00000171456","DEGs_DOWN_binding_noDMR"
"ENSG00000029153","DEGs_DOWN_binding_noDMR"
"ENSG00000108861","DEGs_DOWN_binding_noDMR"
"ENSG00000072110","DEGs_DOWN_binding_noDMR"
"ENSG00000109674","DEGs_DOWN_binding_noDMR"
"ENSG00000170961","DEGs_DOWN_binding_noDMR"
"ENSG00000213064","DEGs_DOWN_binding_noDMR"
"ENSG00000163166","DEGs_DOWN_binding_noDMR"
"ENSG00000125868","DEGs_DOWN_binding_noDMR"
"ENSG00000087253","DEGs_DOWN_binding_noDMR"
"ENSG00000149596","DEGs_DOWN_binding_noDMR"
"ENSG00000104312","DEGs_DOWN_binding_noDMR"
"ENSG00000146376","DEGs_DOWN_binding_noDMR"
"ENSG00000005884","DEGs_DOWN_binding_noDMR"
"ENSG00000173166","DEGs_DOWN_binding_noDMR"
"ENSG00000072571","DEGs_DOWN_binding_noDMR"
"ENSG00000136636","DEGs_DOWN_binding_noDMR"
"ENSG00000162614","DEGs_DOWN_binding_noDMR"
"ENSG00000172159","DEGs_DOWN_binding_noDMR"
"ENSG00000171940","DEGs_DOWN_binding_noDMR"
"ENSG00000110330","DEGs_DOWN_binding_noDMR"
